category,cart_items,abandonment_rate
5259,353,61.8
4394,355,66.5
2695,287,49.8
4978,317,45.1
6605,386,51.0
608,276,44.2
991,214,62.6
1771,648,50.9
989,225,61.8
1935,210,65.2
4271,259,64.5
1571,745,54.5
5197,309,53.4
529,225,56.4
1449,288,59.7
6569,258,59.3
5816,202,51.0
2490,628,46.5
3967,221,58.8
1611,293,57.0
4281,244,54.1
333,320,52.2
6109,286,62.6
4146,519,60.7
2974,265,47.5
392,346,63.0
3554,286,62.2
5087,232,61.2
3400,238,56.3
2832,257,61.1
5992,288,46.9
3950,270,58.5
1581,210,48.6
4570,201,51.2
3241,271,65.3
2604,247,63.2
4798,216,57.9
5763,240,67.5
973,267,55.8
5537,219,68.9
6351,607,49.1
1819,315,71.4
5740,274,64.6
6384,279,58.8
3460,289,48.4
5813,319,50.8
1854,240,57.1
5508,275,53.5
6956,217,54.4
4736,246,28.5
